3.000000000000000000e+00 -2.685618165332833929e+00 -1.008852811276853334e+00
3.500000000000000000e+00 -3.285140883314493276e+00 -1.702652982853190666e+00
4.000000000000000000e+00 -3.578600083797880860e+00 -2.026258769230981471e+00
4.500000000000000000e+00 -3.695368309663902728e+00 -2.152118329079704129e+00
5.000000000000000000e+00 -3.735027710017363667e+00 -2.194344753626065181e+00
5.500000000000000000e+00 -3.746844556406337290e+00 -2.206834256907463043e+00
6.000000000000000000e+00 -3.750000754194457109e+00 -2.210153941639274144e+00
6.500000000000000000e+00 -3.750771557050304406e+00 -2.210961855513698726e+00
7.000000000000000000e+00 -3.750946663905722733e+00 -2.211144907854782016e+00
7.500000000000000000e+00 -3.750984178453443452e+00 -2.211184042129154648e+00
8.000000000000000000e+00 -3.750991837548572239e+00 -2.211192018100473167e+00
8.500000000000000000e+00 -3.750993339571659035e+00 -2.211193579989885638e+00
9.000000000000000000e+00 -3.750993624237281221e+00 -2.211193875632088357e+00
9.500000000000000000e+00 -3.750993625797254705e+00 -2.211193879152971054e+00
1.000000000000000000e+01 -3.750993625026719069e+00 -2.211193878724837525e+00
